satellite_position_km,nadir_surface_echo_m,offnadir_surface_echo_apparent_depth_m,offnadir_extra_two_way_delay_us
36.000,0.000000,1344.991822,15.971619
36.200,0.000000,1355.071715,16.091316
36.400,0.000000,1365.206999,16.211672
36.600,0.000000,1375.397667,16.332685
36.800,0.000000,1385.643711,16.454355
37.000,0.000000,1395.945124,16.576683
37.200,0.000000,1406.301898,16.699669
37.400,0.000000,1416.714025,16.823312
37.600,0.000000,1427.181499,16.947612
37.800,0.000000,1437.704310,17.072569
38.000,0.000000,1448.282452,17.198183
38.200,0.000000,1458.915916,17.324454
38.400,0.000000,1469.604695,17.451382
38.600,0.000000,1480.348782,17.578967
38.800,0.000000,1491.148167,17.707208
39.000,0.000000,1502.002844,17.836106
39.200,0.000000,1512.912804,17.965661
39.400,0.000000,1523.878039,18.095872
39.600,0.000000,1534.898542,18.226739
39.800,0.000000,1545.974304,18.358262
40.000,0.000000,1557.105316,18.490442
40.200,0.000000,1568.291572,18.623277
40.400,0.000000,1579.533062,18.756768
40.600,0.000000,1590.829779,18.890916
40.800,0.000000,1602.181714,19.025718
41.000,0.000000,1613.588859,19.161177
41.200,0.000000,1625.051205,19.297291
41.400,0.000000,1636.568745,19.434060
41.600,0.000000,1648.141469,19.571485
41.800,0.000000,1659.769370,19.709565
42.000,0.000000,1671.452438,19.848300
42.200,0.000000,1683.190666,19.987690
42.400,0.000000,1694.984044,20.127735
42.600,0.000000,1706.832565,20.268435
42.800,0.000000,1718.736218,20.409789
43.000,0.000000,1730.694997,20.551798
43.200,0.000000,1742.708891,20.694462
43.400,0.000000,1754.777892,20.837780
43.600,0.000000,1766.901992,20.981752
43.800,0.000000,1779.081182,21.126379
44.000,0.000000,1791.315452,21.271659
44.200,0.000000,1803.604793,21.417594
44.400,0.000000,1815.949198,21.564182
44.600,0.000000,1828.348656,21.711424
44.800,0.000000,1840.803159,21.859320
45.000,0.000000,1853.312697,22.007869
45.200,0.000000,1865.877263,22.157072
45.400,0.000000,1878.496845,22.306928
45.600,0.000000,1891.171436,22.457437
45.800,0.000000,1903.901025,22.608600
46.000,0.000000,1916.685604,22.760415
46.200,0.000000,1929.525164,22.912883
46.400,0.000000,1942.419694,23.066004
46.600,0.000000,1955.369187,23.219778
46.800,0.000000,1968.373631,23.374204
47.000,0.000000,1981.433018,23.529283
47.200,0.000000,1994.547339,23.685014
47.400,0.000000,2007.716583,23.841397
47.600,0.000000,2020.940742,23.998432
47.800,0.000000,2034.219805,24.156120
48.000,0.000000,2047.553762,24.314459
48.200,0.000000,2060.942606,24.473450
48.400,0.000000,2074.386324,24.633092
48.600,0.000000,2087.884909,24.793386
48.800,0.000000,2101.438349,24.954332
49.000,0.000000,2115.046635,25.115929
49.200,0.000000,2128.709758,25.278177
49.400,0.000000,2142.427707,25.441076
49.600,0.000000,2156.200473,25.604626
49.800,0.000000,2170.028045,25.768827
50.000,0.000000,2183.910413,25.933678
50.200,0.000000,2197.847568,26.099180
50.400,0.000000,2211.839499,26.265333
50.600,0.000000,2225.886196,26.432135
50.800,0.000000,2239.987649,26.599589
51.000,0.000000,2254.143847,26.767692
51.200,0.000000,2268.354781,26.936445
51.400,0.000000,2282.620441,27.105848
51.600,0.000000,2296.940815,27.275901
51.800,0.000000,2311.315894,27.446603
52.000,0.000000,2325.745667,27.617955
52.200,0.000000,2340.230124,27.789956
52.400,0.000000,2354.769254,27.962607
52.600,0.000000,2369.363047,28.135906
52.800,0.000000,2384.011492,28.309855
53.000,0.000000,2398.714579,28.484452
53.200,0.000000,2413.472296,28.659698
53.400,0.000000,2428.284634,28.835593
53.600,0.000000,2443.151582,29.012136
53.800,0.000000,2458.073129,29.189328
54.000,0.000000,2473.049264,29.367168
54.200,0.000000,2488.079977,29.545656
54.400,0.000000,2503.165256,29.724792
54.600,0.000000,2518.305091,29.904575
54.800,0.000000,2533.499470,30.085007
55.000,0.000000,2548.748384,30.266086
55.200,0.000000,2564.051820,30.447812
55.400,0.000000,2579.409769,30.630186
55.600,0.000000,2594.822218,30.813207
55.800,0.000000,2610.289157,30.996875
56.000,0.000000,2625.810575,31.181190
56.200,0.000000,2641.386460,31.366152
56.400,0.000000,2657.016801,31.551760
56.600,0.000000,2672.701588,31.738015
56.800,0.000000,2688.440808,31.924917
57.000,0.000000,2704.234451,32.112464
57.200,0.000000,2720.082505,32.300658
57.400,0.000000,2735.984959,32.489498
57.600,0.000000,2751.941801,32.678984
57.800,0.000000,2767.953020,32.869115
58.000,0.000000,2784.018605,33.059892
58.200,0.000000,2800.138543,33.251314
58.400,0.000000,2816.312824,33.443382
58.600,0.000000,2832.541436,33.636095
58.800,0.000000,2848.824367,33.829453
59.000,0.000000,2865.161605,34.023455
59.200,0.000000,2881.553139,34.218103
59.400,0.000000,2897.998958,34.413395
59.600,0.000000,2914.499048,34.609332
59.800,0.000000,2931.053400,34.805913
60.000,0.000000,2947.661999,35.003138
