column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,nadir_areoid_radius_m,nadir_ellipsoid_radius_m
4209,2.908961,77.065634,316483.068,-2960.0,2660.0,3379092.0,3377215.677
4210,2.901452,77.058043,316481.269,-2967.0,2662.0,3379093.0,3377216.848
4211,2.894001,77.050503,316479.482,-2969.0,2662.0,3379094.0,3377218.012
4212,2.886507,77.042912,316477.681,-2969.0,2662.0,3379095.0,3377219.185
4213,2.879072,77.035371,316475.891,-2970.0,2662.0,3379095.0,3377220.35
4214,2.871595,77.027779,316474.087,-2969.0,2662.0,3379097.0,3377221.524
4215,2.864175,77.020238,316472.295,-2969.0,2662.0,3379098.0,3377222.691
4216,2.856713,77.012646,316470.489,-2971.0,2662.0,3379099.0,3377223.866
4217,2.849309,77.005105,316468.694,-2971.0,2662.0,3379100.0,3377225.034
4218,2.841863,76.997512,316466.886,-2972.0,2662.0,3379100.0,3377226.211
4219,2.834474,76.98997,316465.089,-2972.0,2662.0,3379102.0,3377227.38
4220,2.827044,76.982377,316463.279,-2973.0,2662.0,3379103.0,3377228.558
4221,2.819671,76.974835,316461.48,-2972.0,2662.0,3379104.0,3377229.729
4222,2.812256,76.967242,316459.667,-2970.0,2662.0,3379105.0,3377230.908
4223,2.804898,76.959699,316457.865,-2968.0,2661.0,3379106.0,3377232.08
4224,2.797499,76.952105,316456.05,-2965.0,2661.0,3379107.0,3377233.261
4225,2.790157,76.944562,316454.246,-2963.0,2660.0,3379107.0,3377234.434
4226,2.782773,76.936968,316452.428,-2962.0,2660.0,3379109.0,3377235.616
4227,2.775446,76.929425,316450.622,-2965.0,2661.0,3379110.0,3377236.791
4228,2.768077,76.921831,316448.802,-2966.0,2661.0,3379111.0,3377237.974
4229,2.760765,76.914287,316446.993,-2967.0,2661.0,3379112.0,3377239.15
4230,2.753412,76.906692,316445.171,-2964.0,2660.0,3379113.0,3377240.335
4231,2.746116,76.899148,316443.36,-2964.0,2661.0,3379114.0,3377241.512
4232,2.738778,76.891553,316441.535,-2964.0,2661.0,3379115.0,3377242.698
4233,2.731496,76.884008,316439.722,-2964.0,2660.0,3379116.0,3377243.877
4234,2.724174,76.876413,316437.895,-2966.0,2661.0,3379117.0,3377245.064
4235,2.716907,76.868868,316436.079,-2965.0,2661.0,3379118.0,3377246.244
4236,2.7096,76.861272,316434.249,-2966.0,2661.0,3379119.0,3377247.432
4237,2.702349,76.853727,316432.431,-2966.0,2661.0,3379120.0,3377248.614
4238,2.695056,76.84613,316430.6,-2965.0,2661.0,3379120.0,3377249.803
4239,2.68782,76.838585,316428.779,-2965.0,2660.0,3379122.0,3377250.986
4240,2.680543,76.830988,316426.945,-2966.0,2661.0,3379123.0,3377252.177
4241,2.673322,76.823442,316425.122,-2966.0,2661.0,3379124.0,3377253.361
4242,2.666059,76.815845,316423.286,-2965.0,2660.0,3379125.0,3377254.554
4243,2.658853,76.808299,316421.46,-2965.0,2660.0,3379125.0,3377255.739
4244,2.651606,76.800702,316419.622,-2965.0,2660.0,3379127.0,3377256.933
