position_km,normal_altitude_km,ascending_altitude_km,descending_altitude_km,normal_radial_velocity_m_s,ascending_radial_velocity_m_s,descending_radial_velocity_m_s,normal_vhf_doppler_hz,ascending_vhf_doppler_hz,descending_vhf_doppler_hz,normal_hf_doppler_hz,ascending_hf_doppler_hz,descending_hf_doppler_hz
-35.400,400.000000,395.575000,404.425000,-351.940400,141.195242,-845.287345,140.776160,-56.478097,338.114938,21.137562,-8.480195,50.768009
-35.200,400.000000,395.600000,404.400000,-349.967300,143.234438,-843.377293,139.986920,-57.293775,337.350917,21.019057,-8.602669,50.653291
-35.000,400.000000,395.625000,404.375000,-347.993942,145.273523,-841.466646,139.197577,-58.109409,336.586658,20.900537,-8.725137,50.538537
-34.800,400.000000,395.650000,404.350000,-346.020328,147.312498,-839.555406,138.408131,-58.924999,335.822162,20.782002,-8.847597,50.423748
-34.600,400.000000,395.675000,404.325000,-344.046460,149.351359,-837.643574,137.618584,-59.740544,335.057430,20.663451,-8.970052,50.308923
-34.400,400.000000,395.700000,404.300000,-342.072338,151.390105,-835.731152,136.828935,-60.556042,334.292461,20.544885,-9.092499,50.194063
-34.200,400.000000,395.725000,404.275000,-340.097964,153.428735,-833.818139,136.039186,-61.371494,333.527256,20.426304,-9.214939,50.079168
-34.000,400.000000,395.750000,404.250000,-338.123340,155.467247,-831.904538,135.249336,-62.186899,332.761815,20.307708,-9.337372,49.964237
-33.800,400.000000,395.775000,404.225000,-336.148467,157.505640,-829.990349,134.459387,-63.002256,331.996140,20.189097,-9.459798,49.849270
-33.600,400.000000,395.800000,404.200000,-334.173347,159.543911,-828.075574,133.669339,-63.817565,331.230229,20.070471,-9.582217,49.734269
-33.400,400.000000,395.825000,404.175000,-332.197980,161.582060,-826.160213,132.879192,-64.632824,330.464085,19.951831,-9.704628,49.619232
-33.200,400.000000,395.850000,404.150000,-330.222368,163.620085,-824.244268,132.088947,-65.448034,329.697707,19.833175,-9.827032,49.504160
-33.000,400.000000,395.875000,404.125000,-328.246513,165.657985,-822.327740,131.298605,-66.263194,328.931096,19.714505,-9.949429,49.389053
-32.800,400.000000,395.900000,404.100000,-326.270416,167.695757,-820.410630,130.508167,-67.078303,328.164252,19.595821,-10.071817,49.273912
-32.600,400.000000,395.925000,404.075000,-324.294079,169.733400,-818.492939,129.717632,-67.893360,327.397175,19.477122,-10.194198,49.158735
-32.400,400.000000,395.950000,404.050000,-322.317502,171.770913,-816.574668,128.927001,-68.708365,326.629867,19.358409,-10.316571,49.043524
-32.200,400.000000,395.975000,404.025000,-320.340688,173.808294,-814.655819,128.136275,-69.523318,325.862327,19.239681,-10.438937,48.928277
-32.000,400.000000,396.000000,404.000000,-318.363638,175.845542,-812.736392,127.345455,-70.338217,325.094557,19.120939,-10.561294,48.812996
-31.800,400.000000,396.025000,403.975000,-316.386352,177.882655,-810.816388,126.554541,-71.153062,324.326555,19.002183,-10.683643,48.697681
-31.600,400.000000,396.050000,403.950000,-314.408834,179.919631,-808.895810,125.763534,-71.967852,323.558324,18.883413,-10.805984,48.582331
-31.400,400.000000,396.075000,403.925000,-312.431083,181.956469,-806.974657,124.972433,-72.782588,322.789863,18.764630,-10.928316,48.466946
-31.200,400.000000,396.100000,403.900000,-310.453102,183.993167,-805.052931,124.181241,-73.597267,322.021173,18.645832,-11.050641,48.351527
-31.000,400.000000,396.125000,403.875000,-308.474891,186.029725,-803.130634,123.389957,-74.411890,321.252254,18.527021,-11.172956,48.236074
-30.800,400.000000,396.150000,403.850000,-306.496453,188.066139,-801.207766,122.598581,-75.226456,320.483106,18.408195,-11.295264,48.120587
-30.600,400.000000,396.175000,403.825000,-304.517789,190.102409,-799.284328,121.807116,-76.040964,319.713731,18.289357,-11.417562,48.005065
-30.400,400.000000,396.200000,403.800000,-302.538900,192.138534,-797.360321,121.015560,-76.855413,318.944129,18.170504,-11.539852,47.889509
-30.200,400.000000,396.225000,403.775000,-300.559787,194.174511,-795.435748,120.223915,-77.669804,318.174299,18.051639,-11.662133,47.773919
-30.000,400.000000,396.250000,403.750000,-298.580452,196.210339,-793.510608,119.432181,-78.484135,317.404243,17.932760,-11.784405,47.658295
-29.800,400.000000,396.275000,403.725000,-296.600897,198.246016,-791.584904,118.640359,-79.298407,316.633961,17.813868,-11.906668,47.542637
-29.600,400.000000,396.300000,403.700000,-294.621122,200.281542,-789.658635,117.848449,-80.112617,315.863454,17.694962,-12.028921,47.426945
-29.400,400.000000,396.325000,403.675000,-292.641130,202.316914,-787.731804,117.056452,-80.926766,315.092722,17.576044,-12.151166,47.311219
-29.200,400.000000,396.350000,403.650000,-290.660921,204.352131,-785.804411,116.264369,-81.740852,314.321765,17.457112,-12.273401,47.195460
-29.000,400.000000,396.375000,403.625000,-288.680498,206.387191,-783.876458,115.472199,-82.554876,313.550583,17.338168,-12.395627,47.079667
-28.800,400.000000,396.400000,403.600000,-286.699861,208.422093,-781.947946,114.679945,-83.368837,312.779178,17.219211,-12.517843,46.963841
-28.600,400.000000,396.425000,403.575000,-284.719012,210.456835,-780.018876,113.887605,-84.182734,312.007550,17.100241,-12.640050,46.847981
-28.400,400.000000,396.450000,403.550000,-282.737953,212.491416,-778.089249,113.095181,-84.996567,311.235699,16.981258,-12.762247,46.732087
-28.200,400.000000,396.475000,403.525000,-280.756685,214.525834,-776.159066,112.302674,-85.810334,310.463626,16.862263,-12.884435,46.616160
-28.000,400.000000,396.500000,403.500000,-278.775208,216.560088,-774.228328,111.510083,-86.624035,309.691331,16.743256,-13.006612,46.500200
-27.800,400.000000,396.525000,403.475000,-276.793526,218.594176,-772.297037,110.717410,-87.437670,308.918815,16.624236,-13.128779,46.384206
-27.600,400.000000,396.550000,403.450000,-274.811639,220.628097,-770.365194,109.924656,-88.251239,308.146078,16.505204,-13.250937,46.268180
-27.400,400.000000,396.575000,403.425000,-272.829548,222.661848,-768.432800,109.131819,-89.064739,307.373120,16.386159,-13.373084,46.152120
-27.200,400.000000,396.600000,403.400000,-270.847256,224.695429,-766.499856,108.338902,-89.878172,306.599943,16.267102,-13.495221,46.036027
-27.000,400.000000,396.625000,403.375000,-268.864763,226.728838,-764.566364,107.545905,-90.691535,305.826545,16.148034,-13.617348,45.919902
-26.800,400.000000,396.650000,403.350000,-266.882071,228.762073,-762.632323,106.752828,-91.504829,305.052929,16.028953,-13.739464,45.803743
-26.600,400.000000,396.675000,403.325000,-264.899181,230.795133,-760.697737,105.959672,-92.318053,304.279095,15.909861,-13.861570,45.687552
-26.400,400.000000,396.700000,403.300000,-262.916095,232.828017,-758.762605,105.166438,-93.131207,303.505042,15.790756,-13.983665,45.571328
-26.200,400.000000,396.725000,403.275000,-260.932814,234.860722,-756.826929,104.373126,-93.944289,302.730772,15.671641,-14.105749,45.455071
-26.000,400.000000,396.750000,403.250000,-258.949341,236.893247,-754.890711,103.579736,-94.757299,301.956284,15.552513,-14.227823,45.338781
-25.800,400.000000,396.775000,403.225000,-256.965675,238.925591,-752.953951,102.786270,-95.570237,301.181580,15.433374,-14.349885,45.222460
-25.600,400.000000,396.800000,403.200000,-254.981819,240.957753,-751.016650,101.992727,-96.383101,300.406660,15.314223,-14.471937,45.106105
