point_count,time_s,surface_window_km,equal_spacing_km,selected_prf_hz,target_alias_hz,nearest_surface_x_km,nearest_surface_alias_hz,nearest_surface_depth_km,nearest_doppler_delta_hz,nearest_depth_delta_km,overlap_count
1,0,24.5453086016534,0,737.662458696868,-361.67281788576,27.2725651129482,123.674780864977,13.5459599863913,252.314859946131,5.16262588568164,0
1,3,24.5453086016534,0,737.662458696868,198.814410531667,27.2725651129482,74.8351126690819,10.0150331335407,123.979297862585,2.85225831568248,0
1,6,24.5453086016534,0,737.662458696868,0,27.2725651129482,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
1,9,24.5453086016534,0,737.662458696868,-198.814410531667,27.2725651129482,-116.898529874346,3.86181938948068,81.9158806573215,3.30095542837758,0
1,12,24.5453086016534,0,737.662458696868,361.67281788576,27.2725651129482,-296.688891533312,1.60105656745929,79.3007492777964,6.78227753325041,0
17,0,24.5453086016534,1.53408178760334,737.662458696868,-361.67281788576,16.5339925997249,46.4952677487834,8.56274073579664,329.494373062325,0.179406635086945,0
17,3,24.5453086016534,1.53408178760334,737.662458696868,198.814410531667,21.1362379625349,16.1745640907121,7.31101374604801,182.639846440955,0.148238928189754,0
17,6,24.5453086016534,1.53408178760334,737.662458696868,0,27.2725651129482,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
17,9,24.5453086016534,1.53408178760334,737.662458696868,-198.814410531667,34.9429740509649,2.09390414750197,6.81067185522283,200.908314679169,0.352102962635426,0
17,12,24.5453086016534,1.53408178760334,737.662458696868,361.67281788576,39.5452194137749,-36.5907898643642,5.63777331027258,339.398850946744,2.74556079043712,0
33,0,24.5453086016534,0.767040893801669,737.662458696868,-361.67281788576,16.5339925997249,46.4952677487834,8.56274073579664,329.494373062325,0.179406635086945,0
33,3,24.5453086016534,0.767040893801669,737.662458696868,198.814410531667,21.1362379625349,16.1745640907121,7.31101374604801,182.639846440955,0.148238928189754,0
33,6,24.5453086016534,0.767040893801669,737.662458696868,0,27.2725651129482,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
33,9,24.5453086016534,0.767040893801669,737.662458696868,-198.814410531667,35.7100149447666,11.2596273568357,7.13121704312528,210.074037888503,0.0315577747329714,0
33,12,24.5453086016534,0.767040893801669,737.662458696868,361.67281788576,39.5452194137749,-36.5907898643642,5.63777331027258,339.398850946744,2.74556079043712,0
65,0,24.5453086016534,0.383520446900834,737.662458696868,-361.67281788576,16.5339925997249,46.4952677487834,8.56274073579664,329.494373062325,0.179406635086945,0
65,3,24.5453086016534,0.383520446900834,737.662458696868,198.814410531667,21.1362379625349,16.1745640907121,7.31101374604801,182.639846440955,0.148238928189754,0
65,6,24.5453086016534,0.383520446900834,737.662458696868,0,27.2725651129482,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
65,9,24.5453086016534,0.383520446900834,737.662458696868,-198.814410531667,35.3264944978657,6.72919048119667,6.97045109983153,205.543601012864,0.192323718026727,0
65,12,24.5453086016534,0.383520446900834,737.662458696868,361.67281788576,39.5452194137749,-36.5907898643642,5.63777331027258,339.398850946744,2.74556079043712,0
96,0,24.5453086016534,0.258371669491088,737.662458696868,-361.67281788576,16.550140829068,46.6501752307907,8.56985042607694,329.339465580318,0.186516325367242,0
96,3,24.5453086016534,0.258371669491088,737.662458696868,198.814410531667,21.2008308799076,16.9085957576806,7.33836349441301,181.905814773987,0.175588676554759,0
96,6,24.5453086016534,0.258371669491088,737.662458696868,0,27.1433792782027,-1.6016476825036,6.68655822249928,1.6016476825036,0.0534417775007148,2
96,9,24.5453086016534,0.258371669491088,737.662458696868,-198.814410531667,35.4112727019175,7.73959303443195,7.00590467565345,206.554003566099,0.156870142204808,0
96,12,24.5453086016534,0.258371669491088,737.662458696868,361.67281788576,39.5452194137749,-36.5907898643642,5.63777331027259,339.398850946744,2.74556079043711,0
