case,band,frequency_mhz,base_prf_hz,min_prf_hz,keep_every,removed_percent,effective_prf_hz,margin,usable
6 km target depth,HF,9.0,2207.3528151027504,492.644012955777,1,0.0,2207.3528151027504,4.480624461178415,True
6 km target depth,HF,9.0,2207.3528151027504,492.644012955777,2,50.0,1103.6764075513752,2.2403122305892076,True
6 km target depth,HF,9.0,2207.3528151027504,492.644012955777,3,66.66666666666667,735.7842717009167,1.4935414870594717,True
6 km target depth,HF,9.0,2207.3528151027504,492.644012955777,4,75.0,551.8382037756876,1.1201561152946038,True
6 km target depth,HF,9.0,2207.3528151027504,492.644012955777,5,80.0,441.47056302055006,0.8961248922356829,False
6 km target depth,VHF,60.0,2207.3528151027504,3284.2934197051795,1,0.0,2207.3528151027504,0.6720936691767623,False
0-30 km fixed-depth sweep,HF,9.0,1354.961222064253,654.431925710205,1,0.0,1354.961222064253,2.0704387558626776,True
0-30 km fixed-depth sweep,HF,9.0,1354.961222064253,654.431925710205,2,50.0,677.4806110321265,1.0352193779313388,True
0-30 km fixed-depth sweep,HF,9.0,1354.961222064253,654.431925710205,3,66.66666666666667,451.6537406880843,0.6901462519542259,False
0-30 km fixed-depth sweep,VHF,60.0,1354.961222064253,4362.879504734699,1,0.0,1354.961222064253,0.31056581337940165,False
