point_count,time_s,selected_prf_hz,same_delay_offset_km,target_alias_hz,nearest_surface_alias_hz,nearest_surface_depth_km,nearest_doppler_delta_hz,nearest_depth_delta_km,overlap_count
1,0,737.662458696868,27.2725651129482,-361.67281788576,123.674780864977,13.5459599863913,485.347598750737,5.16262588568164,0
1,3,737.662458696868,27.2725651129482,198.814410531667,74.8351126690819,10.0150331335407,123.979297862585,2.85225831568248,0
1,6,737.662458696868,27.2725651129482,0,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
1,9,737.662458696868,27.2725651129482,-198.814410531667,-116.898529874346,3.86181938948068,81.9158806573215,3.30095542837758,0
1,12,737.662458696868,27.2725651129482,361.67281788576,-296.688891533312,1.60105656745929,658.361709419072,6.78227753325041,0
4,0,737.662458696868,27.2725651129482,-361.67281788576,89.7016427385714,10.9234824843048,451.374460624331,2.54014838359506,0
4,3,737.662458696868,27.2725651129482,198.814410531667,22.9904007546195,7.5701455200142,175.824009777048,0.407370702155946,0
4,6,737.662458696868,27.2725651129482,0,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
4,9,737.662458696868,27.2725651129482,-198.814410531667,-67.6440603901964,4.86411804825844,131.170350141471,2.29865676959981,0
4,12,737.662458696868,27.2725651129482,361.67281788576,-221.903707412848,2.34453914212251,583.576525298608,6.03879495858719,0
12,0,737.662458696868,27.2725651129482,-361.67281788576,89.7016427385714,10.9234824843048,451.374460624331,2.54014838359506,0
12,3,737.662458696868,27.2725651129482,198.814410531667,22.9904007546195,7.5701455200142,175.824009777048,0.407370702155946,0
12,6,737.662458696868,27.2725651129482,0,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
12,9,737.662458696868,27.2725651129482,-198.814410531667,-39.031559124168,5.57216319725703,159.782851407499,1.59061162060123,0
12,12,737.662458696868,27.2725651129482,361.67281788576,-177.728635947234,2.90119634378537,539.401453832994,5.48213775692433,0
24,0,737.662458696868,27.2725651129482,-361.67281788576,89.7016427385714,10.9234824843048,451.374460624331,2.54014838359506,0
24,3,737.662458696868,27.2725651129482,198.814410531667,22.9904007546195,7.5701455200142,175.824009777048,0.407370702155946,0
24,6,737.662458696868,27.2725651129482,0,5.6843418860808e-14,6.74,5.6843418860808e-14,0,1
24,9,737.662458696868,27.2725651129482,-198.814410531667,-32.3585382847133,5.75367229761238,166.455872246954,1.40910252024587,0
24,12,737.662458696868,27.2725651129482,361.67281788576,-167.366995419614,3.04732170627653,529.039813305374,5.33601239443317,0
48,0,737.662458696868,27.2725651129482,-361.67281788576,89.7016427385714,10.9234824843048,451.374460624331,2.54014838359506,0
48,3,737.662458696868,27.2725651129482,198.814410531667,22.9904007546195,7.5701455200142,175.824009777048,0.407370702155946,0
48,6,737.662458696868,27.2725651129482,0,5.6843418860808e-14,6.74,5.6843418860808e-14,0,3
48,9,737.662458696868,27.2725651129482,-198.814410531667,-29.0905407535701,5.84506795099804,169.723869778097,1.31770686686022,0
48,12,737.662458696868,27.2725651129482,361.67281788576,-162.285718863951,3.12138047673307,523.958536749711,5.26195362397663,0
