apparent_depth_km,surface_offset_km,positive_true_doppler_hz,negative_true_doppler_hz,positive_alias_current_prf_hz,negative_alias_current_prf_hz,positive_alias_zero_overlap_prf_hz,negative_alias_zero_overlap_prf_hz
0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.0125,1.0549858115159654,77.57791138644112,-77.57791138644112,77.5779113864412,-77.5779113864412,77.57791138644109,-77.57791138644109
0.025,1.4923070227000876,109.63864009136383,-109.63864009136383,109.63864009136387,-109.63864009136387,109.63864009136387,-109.63864009136387
0.037500000000000006,1.8281016280557272,134.18999254480687,-134.18999254480687,134.18999254480696,-134.18999254480684,134.18999254480684,-134.18999254480684
0.05,2.1113789333040147,154.84623688785473,-154.84623688785473,154.84623688785473,-154.84623688785473,154.84623688785473,-154.84623688785473
0.0625,2.3611176511347334,173.00837186870066,-173.00837186870066,173.00837186870058,-173.0083718687007,173.0083718687007,-173.0083718687007
0.07500000000000001,2.587048946193326,189.39543083914776,-189.39543083914776,189.39543083914782,-189.39543083914782,189.39543083914782,-189.39543083914776
0.08750000000000001,2.7949522469087014,204.43485621824078,-204.43485621824078,204.43485621824084,-204.43485621824084,204.43485621824084,-204.43485621824078
0.1,2.988592310771076,218.4053479950266,-218.4053479950266,218.40534799502666,-218.40534799502666,218.40534799502666,-218.4053479950266
0.1125,3.1705835523606694,231.50062941215387,-231.50062941215387,231.50062941215378,-231.5006294121539,231.5006294121539,-231.5006294121539
0.125,3.3428290787894017,243.86184973624736,-243.86184973624736,243.86184973624745,-243.86184973624734,243.86184973624734,-243.86184973624734
0.1375,3.5067652562582516,255.59564153002833,-255.59564153002833,255.5956415300284,-255.5956415300284,255.5956415300284,-255.59564153002833
0.15000000000000002,3.663507745317321,266.78490724596793,-266.78490724596793,266.78490724596804,-266.78490724596793,266.78490724596793,-266.78490724596793
0.1625,3.8139435709643106,277.495622470984,-277.495622470984,277.495622470984,-277.495622470984,277.495622470984,-277.495622470984
0.17500000000000002,3.958791766435815,287.7813187777058,-287.7813187777058,287.7813187777058,-287.7813187777058,287.7813187777058,-287.7813187777058
0.1875,4.098644783644955,297.6861460268108,-297.6861460268108,297.6861460268108,-297.6861460268108,297.6861460268108,-297.6861460268108
0.2,4.233997638166559,307.24702848345436,-307.24702848345436,307.2470284834544,-307.2470284834544,307.2470284834544,-307.24702848345436
0.21250000000000002,4.36526895649054,316.49522248155773,-316.49522248155773,316.4952224815577,-316.4952224815577,316.4952224815577,-316.49522248155773
0.225,4.492816516395923,325.4574669856301,-325.4574669856301,325.45746698563016,-325.45746698563016,325.45746698563016,-325.4574669856301
0.23750000000000002,4.616948945190969,334.1568500320139,-334.1568500320139,334.15685003201384,-334.15685003201384,334.15685003201384,-334.1568500320139
0.25,4.737934676628625,342.6134723913016,-342.6134723913016,342.6134723913017,-342.6134723913017,342.6134723913017,-342.6134723913016
0.2625,4.856008912934572,350.84496362189134,-350.84496362189134,350.84496362189134,-350.84496362189134,350.84496362189134,-350.84496362189134
0.275,4.971379109462484,358.8668887742392,-358.8668887742392,358.8668887742392,-358.8668887742392,358.8668887742392,-358.8668887742392
0.28750000000000003,5.0842293479444844,366.6930728083276,-366.6930728083276,366.69307280832754,-366.69307280832754,366.69307280832754,-366.6930728083276
0.30000000000000004,5.1947238617658975,374.335862209182,-374.335862209182,374.33586220918187,-374.335862209182,374.3358622091821,-374.335862209182
0.3125,5.30300990594021,381.80633805546535,-381.80633805546535,381.8063380554654,-381.8063380554654,381.8063380554654,-381.80633805546535
0.325,5.409220114767008,389.1144911222822,-389.1144911222822,389.1144911222823,-389.1144911222822,389.11449112228206,-389.1144911222822
0.3375,5.513474454688259,396.269366976608,-396.269366976608,396.2693669766081,-396.269366976608,396.2693669766079,-396.269366976608
0.35000000000000003,5.615881854170366,403.2791871238136,-403.2791871238136,403.2791871238137,-403.2791871238136,403.2791871238135,-403.2791871238136
0.36250000000000004,5.716541573582755,410.1514508687678,-410.1514508687678,410.1514508687678,-410.1514508687678,410.1514508687678,-410.1514508687678
