column,usrdr_deep_energy_db,usrdr_robust_z,rdr_complex_deep_energy_db,rdr_complex_robust_z,edr_raw_deep_energy_db,combined_low_signal_score,low_signal_flag
1,-39.042274475097656,-0.4450732171535492,9.250655174255371,-0.7667061686515808,11.772479057312012,-0.6058896780014038,False
2,-38.96713638305664,-0.4217474162578583,8.87581729888916,-0.8483076095581055,11.532283782958984,-0.6350275278091431,False
3,-38.48637771606445,-0.2725011110305786,10.175752639770508,-0.5653144121170044,11.750877380371094,-0.4189077615737915,False
4,-39.97373962402344,-0.7342364192008972,9.169538497924805,-0.7843651175498962,11.738584518432617,-0.7593007683753967,False
5,-38.930057525634766,-0.4102366864681244,8.998085975646973,-0.8216899633407593,11.914080619812012,-0.615963339805603,False
6,-38.71735763549805,-0.344206303358078,10.153999328613281,-0.570050060749054,11.704874038696289,-0.4571281671524048,False
7,-39.51439666748047,-0.5916383862495422,10.428187370300293,-0.5103598833084106,11.903316497802734,-0.5509991645812988,False
8,-39.21268844604492,-0.4979763627052307,11.233416557312012,-0.3350631594657898,11.838171005249023,-0.41651976108551025,False
9,-39.40060806274414,-0.5563139915466309,10.017455101013184,-0.5997754335403442,11.762024879455566,-0.5780447125434875,False
10,-39.41415023803711,-0.5605179667472839,8.620431900024414,-0.9039044976234436,11.870865821838379,-0.7322112321853638,False
11,-39.543304443359375,-0.6006125211715698,9.946560859680176,-0.6152089834213257,11.881710052490234,-0.6079107522964478,False
12,-39.04825210571289,-0.44692888855934143,9.587472915649414,-0.693381667137146,11.828313827514648,-0.5701552629470825,False
13,-38.9067268371582,-0.40299391746520996,8.88228988647461,-0.8468985557556152,11.839262962341309,-0.6249462366104126,False
14,-39.43506622314453,-0.5670111179351807,10.338335990905762,-0.5299203395843506,11.882791519165039,-0.5484657287597656,False
15,-39.71452331542969,-0.6537655591964722,9.075955390930176,-0.8047379851341248,11.805229187011719,-0.7292517423629761,False
16,-39.166255950927734,-0.4835619032382965,8.585935592651367,-0.9114142656326294,11.967498779296875,-0.6974880695343018,False
17,-39.20468521118164,-0.4954918622970581,10.9319486618042,-0.4006921052932739,11.750877380371094,-0.448091983795166,False
18,-40.07255172729492,-0.7649115920066833,9.452701568603516,-0.7227210998535156,11.827219009399414,-0.7438163757324219,False
19,-39.72433090209961,-0.6568102240562439,8.352564811706543,-0.9622185826301575,12.020269393920898,-0.8095144033432007,False
20,-39.539730072021484,-0.5995028614997864,10.41404914855957,-0.5134377479553223,11.805229187011719,-0.5564702749252319,False
21,-39.93385696411133,-0.7218552827835083,9.67910099029541,-0.6734344363212585,11.999238967895508,-0.697644829750061,False
22,-39.3416748046875,-0.5380187630653381,8.702035903930664,-0.886139452457428,11.924816131591797,-0.7120791077613831,False
