x_km,z_km,dz_dx,dz_dt_km_s,range_km,dR_dt_m_s,vhf_doppler_hz,hf_doppler_hz
-46.200,402.371600,-0.102666667,-0.410666667,405.786082,-862.623483,345.049393,51.809218
-46.000,402.351111,-0.102222222,-0.408888889,405.743043,-858.959642,343.583857,51.589168
-45.800,402.330711,-0.101777778,-0.407111111,405.700186,-855.294906,342.117963,51.369063
-45.600,402.310400,-0.101333333,-0.405333333,405.657513,-851.629279,340.651712,51.148906
-45.400,402.290178,-0.100888889,-0.403555556,405.615023,-847.962764,339.185106,50.928695
-45.200,402.270044,-0.100444444,-0.401777778,405.572717,-844.295364,337.718146,50.708430
-45.000,402.250000,-0.100000000,-0.400000000,405.530594,-840.627083,336.250833,50.488113
-44.800,402.230044,-0.099555556,-0.398222222,405.488654,-836.957924,334.783170,50.267743
-44.600,402.210178,-0.099111111,-0.396444444,405.446898,-833.287891,333.315156,50.047321
-44.400,402.190400,-0.098666667,-0.394666667,405.405325,-829.616987,331.846795,49.826846
-44.200,402.170711,-0.098222222,-0.392888889,405.363936,-825.945216,330.378086,49.606319
-44.000,402.151111,-0.097777778,-0.391111111,405.322731,-822.272581,328.909032,49.385741
-43.800,402.131600,-0.097333333,-0.389333333,405.281709,-818.599085,327.439634,49.165110
-43.600,402.112178,-0.096888889,-0.387555556,405.240871,-814.924733,325.969893,48.944428
-43.400,402.092844,-0.096444444,-0.385777778,405.200217,-811.249527,324.499811,48.723695
-43.200,402.073600,-0.096000000,-0.384000000,405.159746,-807.573471,323.029388,48.502911
-43.000,402.054444,-0.095555556,-0.382222222,405.119459,-803.896569,321.558627,48.282076
-42.800,402.035378,-0.095111111,-0.380444444,405.079356,-800.218823,320.087529,48.061191
-42.600,402.016400,-0.094666667,-0.378666667,405.039437,-796.540239,318.616095,47.840255
-42.400,401.997511,-0.094222222,-0.376888889,404.999702,-792.860818,317.144327,47.619268
-42.200,401.978711,-0.093777778,-0.375111111,404.960151,-789.180565,315.672226,47.398232
-42.000,401.960000,-0.093333333,-0.373333333,404.920784,-785.499483,314.199793,47.177146
-41.800,401.941378,-0.092888889,-0.371555556,404.881601,-781.817575,312.727030,46.956011
-41.600,401.922844,-0.092444444,-0.369777778,404.842603,-778.134846,311.253938,46.734826
-41.400,401.904400,-0.092000000,-0.368000000,404.803788,-774.451298,309.780519,46.513591
-41.200,401.886044,-0.091555556,-0.366222222,404.765157,-770.766936,308.306774,46.292308
-41.000,401.867778,-0.091111111,-0.364444444,404.726711,-767.081762,306.832705,46.070977
-40.800,401.849600,-0.090666667,-0.362666667,404.688449,-763.395781,305.358312,45.849596
-40.600,401.831511,-0.090222222,-0.360888889,404.650372,-759.708996,303.883598,45.628168
-40.400,401.813511,-0.089777778,-0.359111111,404.612478,-756.021410,302.408564,45.406691
-40.200,401.795600,-0.089333333,-0.357333333,404.574770,-752.333027,300.933211,45.185167
-40.000,401.777778,-0.088888889,-0.355555556,404.537245,-748.643851,299.457540,44.963595
-39.800,401.760044,-0.088444444,-0.353777778,404.499905,-744.953885,297.981554,44.741975
-39.600,401.742400,-0.088000000,-0.352000000,404.462750,-741.263132,296.505253,44.520308
-39.400,401.724844,-0.087555556,-0.350222222,404.425779,-737.571597,295.028639,44.298594
-39.200,401.707378,-0.087111111,-0.348444444,404.388993,-733.879283,293.551713,44.076834
-39.000,401.690000,-0.086666667,-0.346666667,404.352391,-730.186194,292.074478,43.855027
-38.800,401.672711,-0.086222222,-0.344888889,404.315974,-726.492332,290.596933,43.633173
-38.600,401.655511,-0.085777778,-0.343111111,404.279742,-722.797703,289.119081,43.411273
-38.400,401.638400,-0.085333333,-0.341333333,404.243694,-719.102309,287.640924,43.189328
-38.200,401.621378,-0.084888889,-0.339555556,404.207832,-715.406154,286.162461,42.967337
-38.000,401.604444,-0.084444444,-0.337777778,404.172154,-711.709241,284.683696,42.745300
-37.800,401.587600,-0.084000000,-0.336000000,404.136661,-708.011575,283.204630,42.523218
-37.600,401.570844,-0.083555556,-0.334222222,404.101353,-704.313159,281.725263,42.301091
-37.400,401.554178,-0.083111111,-0.332444444,404.066229,-700.613996,280.245598,42.078919
-37.200,401.537600,-0.082666667,-0.330666667,404.031291,-696.914090,278.765636,41.856702
-37.000,401.521111,-0.082222222,-0.328888889,403.996538,-693.213446,277.285378,41.634441
-36.800,401.504711,-0.081777778,-0.327111111,403.961970,-689.512065,275.804826,41.412136
-36.600,401.488400,-0.081333333,-0.325333333,403.927587,-685.809953,274.323981,41.189787
-36.400,401.472178,-0.080888889,-0.323555556,403.893389,-682.107113,272.842845,40.967394
-36.200,401.456044,-0.080444444,-0.321777778,403.859376,-678.403549,271.361419,40.744958
-36.000,401.440000,-0.080000000,-0.320000000,403.825548,-674.699263,269.879705,40.522478
