position_km,normal_altitude_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,normal_radial_velocity_m_s,parabolic_radial_velocity_m_s,normal_vhf_doppler_hz,parabolic_vhf_doppler_hz,normal_hf_doppler_hz,parabolic_hf_doppler_hz
-52.400,400.000000,403.050844,-0.465778,-518.566089,-975.740324,207.426436,390.296129,31.145110,58.603022
-52.200,400.000000,403.027600,-0.464000,-516.619908,-972.105887,206.647963,388.842355,31.028223,58.384738
-52.000,400.000000,403.004444,-0.462222,-514.673353,-968.470452,205.869341,387.388181,30.911312,58.166394
-51.800,400.000000,402.981378,-0.460444,-512.726426,-964.834023,205.090571,385.933609,30.794380,57.947989
-51.600,400.000000,402.958400,-0.458667,-510.779129,-961.196602,204.311652,384.478641,30.677425,57.729526
-51.400,400.000000,402.935511,-0.456889,-508.831463,-957.558193,203.532585,383.023277,30.560448,57.511003
-51.200,400.000000,402.912711,-0.455111,-506.883428,-953.918799,202.753371,381.567520,30.443449,57.292420
-51.000,400.000000,402.890000,-0.453333,-504.935027,-950.278423,201.974011,380.111369,30.326428,57.073779
-50.800,400.000000,402.867378,-0.451556,-502.986261,-946.637069,201.194504,378.654828,30.209385,56.855079
-50.600,400.000000,402.844844,-0.449778,-501.037130,-942.994740,200.414852,377.197896,30.092320,56.636321
-50.400,400.000000,402.822400,-0.448000,-499.087637,-939.351439,199.635055,375.740576,29.975233,56.417504
-50.200,400.000000,402.800044,-0.446222,-497.137783,-935.707170,198.855113,374.282868,29.858125,56.198629
-50.000,400.000000,402.777778,-0.444444,-495.187568,-932.061935,198.075027,372.824774,29.740995,55.979696
-49.800,400.000000,402.755600,-0.442667,-493.236995,-928.415738,197.294798,371.366295,29.623844,55.760705
-49.600,400.000000,402.733511,-0.440889,-491.286065,-924.768582,196.514426,369.907433,29.506671,55.541657
-49.400,400.000000,402.711511,-0.439111,-489.334778,-921.120471,195.733911,368.448189,29.389476,55.322551
-49.200,400.000000,402.689600,-0.437333,-487.383137,-917.471408,194.953255,366.988563,29.272260,55.103388
-49.000,400.000000,402.667778,-0.435556,-485.431143,-913.821397,194.172457,365.528559,29.155024,54.884168
-48.800,400.000000,402.646044,-0.433778,-483.478796,-910.170439,193.391518,364.068176,29.037766,54.664891
-48.600,400.000000,402.624400,-0.432000,-481.526099,-906.518540,192.610439,362.607416,28.920486,54.445558
-48.400,400.000000,402.602844,-0.430222,-479.573052,-902.865702,191.829221,361.146281,28.803186,54.226168
-48.200,400.000000,402.581378,-0.428444,-477.619657,-899.211928,191.047863,359.684771,28.685865,54.006722
-48.000,400.000000,402.560000,-0.426667,-475.665916,-895.557223,190.266366,358.222889,28.568523,53.787221
-47.800,400.000000,402.538711,-0.424889,-473.711829,-891.901588,189.484732,356.760635,28.451161,53.567663
-47.600,400.000000,402.517511,-0.423111,-471.757398,-888.245029,188.702959,355.298011,28.333778,53.348050
-47.400,400.000000,402.496400,-0.421333,-469.802624,-884.587547,187.921050,353.835019,28.216374,53.128381
-47.200,400.000000,402.475378,-0.419556,-467.847509,-880.929146,187.139004,352.371659,28.098950,52.908657
-47.000,400.000000,402.454444,-0.417778,-465.892054,-877.269831,186.356822,350.907932,27.981505,52.688879
-46.800,400.000000,402.433600,-0.416000,-463.936260,-873.609603,185.574504,349.443841,27.864040,52.469045
-46.600,400.000000,402.412844,-0.414222,-461.980129,-869.948467,184.792052,347.979387,27.746554,52.249157
-46.400,400.000000,402.392178,-0.412444,-460.023662,-866.286426,184.009465,346.514570,27.629049,52.029215
-46.200,400.000000,402.371600,-0.410667,-458.066861,-862.623483,183.226744,345.049393,27.511523,51.809218
-46.000,400.000000,402.351111,-0.408889,-456.109726,-858.959642,182.443890,343.583857,27.393978,51.589168
-45.800,400.000000,402.330711,-0.407111,-454.152259,-855.294906,181.660904,342.117963,27.276412,51.369063
-45.600,400.000000,402.310400,-0.405333,-452.194461,-851.629279,180.877784,340.651712,27.158827,51.148906
-45.400,400.000000,402.290178,-0.403556,-450.236334,-847.962764,180.094534,339.185106,27.041221,50.928695
-45.200,400.000000,402.270044,-0.401778,-448.277880,-844.295364,179.311152,337.718146,26.923596,50.708430
-45.000,400.000000,402.250000,-0.400000,-446.319099,-840.627083,178.527639,336.250833,26.805952,50.488113
-44.800,400.000000,402.230044,-0.398222,-444.359992,-836.957924,177.743997,334.783170,26.688288,50.267743
-44.600,400.000000,402.210178,-0.396444,-442.400562,-833.287891,176.960225,333.315156,26.570604,50.047321
-44.400,400.000000,402.190400,-0.394667,-440.440809,-829.616987,176.176324,331.846795,26.452901,49.826846
-44.200,400.000000,402.170711,-0.392889,-438.480735,-825.945216,175.392294,330.378086,26.335179,49.606319
-44.000,400.000000,402.151111,-0.391111,-436.520342,-822.272581,174.608137,328.909032,26.217438,49.385741
-43.800,400.000000,402.131600,-0.389333,-434.559630,-818.599085,173.823852,327.439634,26.099677,49.165110
-43.600,400.000000,402.112178,-0.387556,-432.598601,-814.924733,173.039440,325.969893,25.981898,48.944428
-43.400,400.000000,402.092844,-0.385778,-430.637256,-811.249527,172.254903,324.499811,25.864099,48.723695
-43.200,400.000000,402.073600,-0.384000,-428.675597,-807.573471,171.470239,323.029388,25.746282,48.502911
-43.000,400.000000,402.054444,-0.382222,-426.713625,-803.896569,170.685450,321.558627,25.628446,48.282076
-42.800,400.000000,402.035378,-0.380444,-424.751342,-800.218823,169.900537,320.087529,25.510591,48.061191
-42.600,400.000000,402.016400,-0.378667,-422.788748,-796.540239,169.115499,318.616095,25.392718,47.840255
-42.400,400.000000,401.997511,-0.376889,-420.825846,-792.860818,168.330338,317.144327,25.274826,47.619268
-42.200,400.000000,401.978711,-0.375111,-418.862636,-789.180565,167.545054,315.672226,25.156915,47.398232
-42.000,400.000000,401.960000,-0.373333,-416.899120,-785.499483,166.759648,314.199793,25.038986,47.177146
-41.800,400.000000,401.941378,-0.371556,-414.935299,-781.817575,165.974120,312.727030,24.921039,46.956011
-41.600,400.000000,401.922844,-0.369778,-412.971175,-778.134846,165.188470,311.253938,24.803074,46.734826
-41.400,400.000000,401.904400,-0.368000,-411.006748,-774.451298,164.402699,309.780519,24.685090,46.513591
-41.200,400.000000,401.886044,-0.366222,-409.042022,-770.766936,163.616809,308.306774,24.567088,46.292308
-41.000,400.000000,401.867778,-0.364444,-407.076996,-767.081762,162.830798,306.832705,24.449069,46.070977
-40.800,400.000000,401.849600,-0.362667,-405.111672,-763.395781,162.044669,305.358312,24.331031,45.849596
-40.600,400.000000,401.831511,-0.360889,-403.146051,-759.708996,161.258421,303.883598,24.212976,45.628168
-40.400,400.000000,401.813511,-0.359111,-401.180136,-756.021410,160.472054,302.408564,24.094903,45.406691
-40.200,400.000000,401.795600,-0.357333,-399.213927,-752.333027,159.685571,300.933211,23.976812,45.185167
-40.000,400.000000,401.777778,-0.355556,-397.247425,-748.643851,158.898970,299.457540,23.858704,44.963595
-39.800,400.000000,401.760044,-0.353778,-395.280633,-744.953885,158.112253,297.981554,23.740579,44.741975
-39.600,400.000000,401.742400,-0.352000,-393.313551,-741.263132,157.325420,296.505253,23.622435,44.520308
-39.400,400.000000,401.724844,-0.350222,-391.346181,-737.571597,156.538472,295.028639,23.504275,44.298594
-39.200,400.000000,401.707378,-0.348444,-389.378524,-733.879283,155.751410,293.551713,23.386098,44.076834
-39.000,400.000000,401.690000,-0.346667,-387.410582,-730.186194,154.964233,292.074478,23.267903,43.855027
-38.800,400.000000,401.672711,-0.344889,-385.442355,-726.492332,154.176942,290.596933,23.149691,43.633173
-38.600,400.000000,401.655511,-0.343111,-383.473846,-722.797703,153.389538,289.119081,23.031462,43.411273
-38.400,400.000000,401.638400,-0.341333,-381.505056,-719.102309,152.602022,287.640924,22.913217,43.189328
-38.200,400.000000,401.621378,-0.339556,-379.535986,-715.406154,151.814394,286.162461,22.794954,42.967337
-38.000,400.000000,401.604444,-0.337778,-377.566637,-711.709241,151.026655,284.683696,22.676675,42.745300
-37.800,400.000000,401.587600,-0.336000,-375.597011,-708.011575,150.238805,283.204630,22.558379,42.523218
