x_km,shell_mode,scenario,band,frequency_mhz,band_role,ocean_depth_m,surface_height_m,surface_slope_deg,lens_strength,layer_count,layer_source_statuses,layer_sources,ocean_in_band_window,ocean_snr_margin_db,false_snr_margin_db,false_minus_ocean_db,false_depth_m,false_label,false_source_status,surface_clutter_snr_margin_db,surface_clutter_minus_ocean_db,surface_clutter_apparent_depth_m,surface_clutter_label,surface_clutter_source_status,surface_clutter_detected,surface_clutter_confuses_shallow_window,surface_roughness_index,classification,inferred_depth_m,inferred_depth_error_m,thermal_mode,thin_layer_solver
-60.0,thin_3km_reason_mode,stacked_dirty_layers,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,6,Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,13.97290304936277,17.32602942835903,3.353126378996258,2248.8890278468193,base paper-bracketed stacked dirty layer; top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,false layer stronger,2248.8890278468193,-643.8560543641306,warm_impure,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,stacked_dirty_layers,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,6,Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,-3.580039985346854,-0.2130502179265692,3.366989767420285,2160.8890278468193,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,weak/no deep detection,,,warm_impure,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,stacked_dirty_layers,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,6,Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,14.575043117104478,17.942032884524767,3.3669897674202893,2160.8890278468193,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,false layer stronger,2160.8890278468193,-731.8560543641306,warm_impure,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,briny_mushy_lens,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,17.142044646367317,-999.0,-1016.1420446463674,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,warm_impure,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,briny_mushy_lens,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,4.602648432634339,-999.0,-1003.6026484326344,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,warm_impure,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,briny_mushy_lens,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,22.75773153508567,-999.0,-1021.7577315350857,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,warm_impure,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,complex_paper_calibrated,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,11.246765506030549,15.25666358030731,4.0098980742767605,2248.8890278468193,base paper-bracketed stacked dirty layer; top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,false layer stronger,2248.8890278468193,-643.8560543641306,dirty_convective,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,complex_paper_calibrated,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,-10.618896855211183,-5.220080329198202,5.398816526012981,2160.8890278468193,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,weak/no deep detection,,,dirty_convective,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,complex_paper_calibrated,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,7.536186247240149,12.935002773253135,5.398816526012986,2160.8890278468193,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,false layer stronger,2160.8890278468193,-731.8560543641306,dirty_convective,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,rough_surface_clutter,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,19.23080913909781,-999.0,-1018.2308091390978,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
