eps,dirty_layer_thickness_m,dirty_layer_attenuation_db_km_hf,deep_false_risk_pct,weak_or_hidden_ocean_pct,median_ocean_snr_margin_db,median_false_minus_ocean_db
5.0,0.5,0.5,0.0,0.0,2.6608063559204966,-12.35455311219948
5.0,0.5,1.0,0.0,0.0,2.6604073783161093,-12.354065956475932
5.0,0.5,2.0,0.0,0.0,2.659407378316108,-12.35306595647593
5.0,0.5,4.0,0.0,0.0,2.657407378316109,-12.351065956475932
5.0,0.5,6.0,0.0,0.0,2.6554073783161067,-12.349065956475929
5.0,0.5,10.0,0.0,0.0,2.651407378316109,-12.345065956475931
5.0,0.5,16.0,0.0,0.0,2.6454073783161087,-12.339065956475931
5.0,0.5,24.0,0.0,0.0,2.637407378316106,-12.331065956475928
5.0,1.0,0.5,0.0,0.0,2.6608063559204966,-6.557589885067603
5.0,1.0,1.0,0.0,0.0,2.660008544477347,-6.556615697595451
5.0,1.0,2.0,0.0,0.0,2.6580085444773482,-6.554615697595452
5.0,1.0,4.0,0.0,0.0,2.654008544477347,-6.55061569759545
5.0,1.0,6.0,0.0,0.0,2.650008544477349,-6.546615697595453
5.0,1.0,10.0,0.0,0.0,2.6420085444773465,-6.53861569759545
5.0,1.0,16.0,0.0,0.0,2.630008544477346,-6.526615697595453
5.0,1.0,24.0,0.0,0.0,2.6140085444773478,-6.510615697595451
5.0,5.0,0.5,100.0,0.0,2.6608063559204966,-0.25481698032491273
5.0,5.0,1.0,100.0,0.0,2.6568230519149028,-0.2499510053147258
5.0,5.0,2.0,100.0,0.0,2.646823051914901,-0.23995100531472424
5.0,5.0,4.0,100.0,0.0,2.6268230519149016,-0.21995100531472467
5.0,5.0,6.0,100.0,0.0,2.606823051914902,-0.1999510053147251
5.0,5.0,10.0,100.0,0.0,2.566823051914903,-0.15995100531472595
5.0,5.0,16.0,100.0,0.0,2.5068230519149006,-0.09995100531472367
5.0,5.0,24.0,100.0,0.0,2.4268230519149023,-0.01995100531472538
5.0,30.0,0.5,0.0,0.0,2.6608063559204966,-19.978298816020875
5.0,30.0,1.0,0.0,0.0,2.6371228995399933,-19.949289861803607
5.0,30.0,2.0,0.0,0.0,2.577122899539991,-19.889289861803604
5.0,30.0,4.0,0.0,0.0,2.4571228995399936,-19.769289861803607
5.0,30.0,6.0,0.0,0.0,2.3371228995399926,-19.649289861803602
5.0,30.0,10.0,0.0,0.0,2.0971228995399906,-19.409289861803607
5.0,30.0,16.0,0.0,0.0,1.7371228995399912,-19.049289861803608
5.0,30.0,24.0,0.0,14.754098360655737,1.2571228995399908,-18.569289861803604
5.0,100.0,0.5,100.0,0.0,2.6608063559204966,0.7825296061070226
5.0,100.0,1.0,100.0,0.0,2.583899708708036,0.8774573241572412
5.0,100.0,2.0,100.0,0.0,2.3838997087080367,1.077457324157244
5.0,100.0,4.0,100.0,0.0,1.9838997087080381,1.4774573241572426
5.0,100.0,6.0,100.0,0.0,1.583899708708036,1.8774573241572412
5.0,100.0,10.0,100.0,13.114754098360656,0.7838997087080353,2.677457324157242
5.0,100.0,16.0,100.0,3.278688524590164,-0.4161002912919641,3.8774573241572448
5.0,100.0,24.0,100.0,0.0,-2.016100291291962,5.477457324157243
5.0,200.0,0.5,0.0,0.0,2.6608063559204966,-4.897113998328255
5.0,200.0,1.0,0.0,0.0,2.512909992524979,-4.72181139945401
5.0,200.0,2.0,0.0,0.0,2.112909992524977,-4.321811399454008
5.0,200.0,4.0,0.0,11.475409836065573,1.3129099925249763,-3.5218113994540072
5.0,200.0,6.0,0.0,34.42622950819672,0.5129099925249756,-2.72181139945401
5.0,200.0,10.0,0.0,100.0,-1.0870900074750223,-1.1218113994540087
5.0,200.0,16.0,0.0,100.0,-3.4870900074750244,1.2781886005459902
5.0,200.0,24.0,0.0,100.0,-6.68709000747502,4.478188600545993
5.0,500.0,0.5,0.0,0.0,2.6608063559204966,-4.897113998328255
5.0,500.0,1.0,0.0,0.0,2.3369850835948123,-4.540129066754478
5.0,500.0,2.0,0.0,8.19672131147541,1.3369850835948123,-3.540129066754478
5.0,500.0,4.0,0.0,100.0,-0.6630149164051877,-1.5401290667544776
5.0,500.0,6.0,0.0,100.0,-2.6630149164051877,0.4598709332455222
5.0,500.0,10.0,0.0,100.0,-6.663014916405188,4.459870933245522
5.0,500.0,16.0,0.0,100.0,-12.663014916405189,10.459870933245519
5.0,500.0,24.0,0.0,100.0,-20.66301491640519,18.45987093324552
9.0,0.5,0.5,49.18032786885246,0.0,2.6608063559204966,-2.497235947708667
9.0,0.5,1.0,49.18032786885246,0.0,2.6604073783161093,-2.4967487919851195
9.0,0.5,2.0,49.18032786885246,0.0,2.659407378316108,-2.4957487919851182
9.0,0.5,4.0,49.18032786885246,0.0,2.657407378316109,-2.4937487919851193
9.0,0.5,6.0,49.18032786885246,0.0,2.6554073783161067,-2.491748791985117
9.0,0.5,10.0,49.18032786885246,0.0,2.651407378316109,-2.487748791985119
9.0,0.5,16.0,49.18032786885246,0.0,2.6454073783161087,-2.481748791985119
9.0,0.5,24.0,49.18032786885246,0.0,2.637407378316106,-2.473748791985116
9.0,1.0,0.5,100.0,0.0,2.6608063559204966,2.9106134933583068
9.0,1.0,1.0,100.0,0.0,2.660008544477347,2.9115876808304595
9.0,1.0,2.0,100.0,0.0,2.6580085444773482,2.9135876808304584
9.0,1.0,4.0,100.0,0.0,2.654008544477347,2.9175876808304597
9.0,1.0,6.0,100.0,0.0,2.650008544477349,2.9215876808304575
9.0,1.0,10.0,100.0,0.0,2.6420085444773465,2.92958768083046
9.0,1.0,16.0,100.0,0.0,2.630008544477346,2.941587680830457
9.0,1.0,24.0,100.0,0.0,2.6140085444773478,2.957587680830459
9.0,5.0,0.5,83.60655737704919,0.0,2.6608063559204966,-1.6887003686751036
9.0,5.0,1.0,83.60655737704919,0.0,2.6568230519149028,-1.6838343936649167
9.0,5.0,2.0,83.60655737704919,0.0,2.646823051914901,-1.6738343936649152
9.0,5.0,4.0,83.60655737704919,0.0,2.6268230519149016,-1.6538343936649156
9.0,5.0,6.0,83.60655737704919,0.0,2.606823051914902,-1.633834393664916
9.0,5.0,10.0,83.60655737704919,0.0,2.566823051914903,-1.5938343936649169
9.0,5.0,16.0,83.60655737704919,0.0,2.5068230519149006,-1.5338343936649146
9.0,5.0,24.0,83.60655737704919,0.0,2.4268230519149023,-1.4538343936649163
9.0,30.0,0.5,100.0,0.0,2.6608063559204966,7.227527294043245
9.0,30.0,1.0,100.0,0.0,2.6371228995399933,7.256536248260513
9.0,30.0,2.0,100.0,0.0,2.577122899539991,7.316536248260512
9.0,30.0,4.0,100.0,0.0,2.4571228995399936,7.436536248260513
9.0,30.0,6.0,100.0,0.0,2.3371228995399926,7.556536248260514
9.0,30.0,10.0,100.0,0.0,2.0971228995399906,7.796536248260512
9.0,30.0,16.0,100.0,0.0,1.7371228995399912,8.156536248260512
9.0,30.0,24.0,100.0,0.0,1.2571228995399908,8.636536248260512
9.0,100.0,0.5,0.0,0.0,2.6608063559204966,-19.463995843136978
9.0,100.0,1.0,0.0,0.0,2.583899708708036,-19.369068125086756
9.0,100.0,2.0,0.0,0.0,2.3838997087080367,-19.169068125086753
9.0,100.0,4.0,0.0,0.0,1.9838997087080381,-18.769068125086754
9.0,100.0,6.0,0.0,0.0,1.583899708708036,-18.369068125086756
9.0,100.0,10.0,0.0,27.86885245901639,0.7838997087080353,-17.56906812508676
9.0,100.0,16.0,0.0,100.0,-0.4161002912919641,-16.369068125086756
9.0,100.0,24.0,0.0,100.0,-2.016100291291962,-14.769068125086756
9.0,200.0,0.5,100.0,0.0,2.6608063559204966,2.0739126091049176
9.0,200.0,1.0,100.0,0.0,2.512909992524979,2.2492152079791623
9.0,200.0,2.0,100.0,0.0,2.112909992524977,2.6492152079791644
9.0,200.0,4.0,100.0,0.0,1.3129099925249763,3.449215207979165
9.0,200.0,6.0,100.0,0.0,0.5129099925249756,4.249215207979162
9.0,200.0,10.0,100.0,0.0,-1.0870900074750223,5.849215207979164
9.0,200.0,16.0,100.0,0.0,-3.4870900074750244,8.249215207979162
9.0,200.0,24.0,100.0,0.0,-6.68709000747502,11.449215207979165
9.0,500.0,0.5,100.0,0.0,2.6608063559204966,2.0739126091049176
9.0,500.0,1.0,100.0,0.0,2.3369850835948123,2.4308975406786946
9.0,500.0,2.0,100.0,0.0,1.3369850835948123,3.4308975406786946
9.0,500.0,4.0,100.0,0.0,-0.6630149164051877,5.430897540678695
9.0,500.0,6.0,100.0,0.0,-2.6630149164051877,7.430897540678695
9.0,500.0,10.0,100.0,0.0,-6.663014916405188,11.430897540678695
9.0,500.0,16.0,100.0,0.0,-12.663014916405189,17.430897540678693
9.0,500.0,24.0,100.0,0.0,-20.66301491640519,25.43089754067869
