shell_mode,scenario,band,points,clear_ocean_pct,ambiguous_pct,false_stronger_pct,hidden_false_visible_pct,internal_feature_only_pct,surface_clutter_pct,outside_band_depth_window_pct,weak_no_deep_detection_pct,deep_false_risk_pct,surface_clutter_detected_pct,median_surface_clutter_snr_margin_db,max_surface_clutter_minus_ocean_db,median_ocean_snr_margin_db,min_ocean_snr_margin_db,max_false_minus_ocean_db,max_abs_inferred_depth_error_m,median_layer_count
thin_3km_reason_mode,briny_mushy_lens,HF_9MHz_full_depth,241,70.12448132780082,0.0,0.0,0.0,0.0,0.0,0.0,29.87551867219917,0.0,0.0,,,10.79075820407636,-13.168660314359686,30.024707728765215,0.0,1.0
thin_3km_reason_mode,briny_mushy_lens,VHF_60MHz_full_depth_lowDR,241,56.43153526970954,0.0,0.0,0.0,0.0,0.0,0.0,43.56846473029046,0.0,0.0,,,6.354783401266367,-55.50012340520751,82.86239388613458,0.0,1.0
thin_3km_reason_mode,briny_mushy_lens,VHF_60MHz_shallow,241,31.12033195020747,0.0,0.0,0.0,0.0,0.0,0.0,68.87966804979253,0.0,0.0,,,-11.800299701184965,-73.65520650765885,82.86239388613458,0.0,1.0
thin_3km_reason_mode,clean_ice_control,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.211941552283804,19.09382844932889,-1018.0938284493288,0.0,0.0
thin_3km_reason_mode,clean_ice_control,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,28.103780069773165,27.778823708217402,-1026.7788237082175,0.0,0.0
thin_3km_reason_mode,clean_ice_control,VHF_60MHz_shallow,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.948696967321833,9.623740605766068,-1008.6237406057661,0.0,0.0
thin_3km_reason_mode,complex_paper_calibrated,HF_9MHz_full_depth,241,26.970954356846473,0.0,19.502074688796682,0.0,0.0,0.0,0.0,53.52697095435685,19.502074688796682,0.0,,,-1.1309146946444895,-27.046531329153627,39.35094556858683,776.454208319773,10.0
thin_3km_reason_mode,complex_paper_calibrated,VHF_60MHz_full_depth_lowDR,241,17.012448132780083,0.0,1.2448132780082988,0.0,0.0,0.0,0.0,81.74273858921161,1.2448132780082988,0.0,,,-24.420979116266892,-91.33263228594853,114.76858655603716,739.9139976471911,10.0
thin_3km_reason_mode,complex_paper_calibrated,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,-42.57606221871823,-109.48771538839986,114.76858655603716,,10.0
thin_3km_reason_mode,complex_with_clutter,HF_9MHz_full_depth,241,26.970954356846473,0.0,19.502074688796682,0.0,0.0,0.0,0.0,53.52697095435685,19.502074688796682,0.0,,,-1.1309146946444895,-27.046531329153627,39.35094556858683,776.454208319773,10.0
thin_3km_reason_mode,complex_with_clutter,VHF_60MHz_full_depth_lowDR,241,17.012448132780083,0.0,1.2448132780082988,0.0,0.0,0.0,0.0,81.74273858921161,1.2448132780082988,71.36929460580913,1.8423406259815636,93.82804238377857,-24.420979116266892,-91.33263228594853,114.76858655603716,739.9139976471911,10.0
