Column,SpacecraftLon,SpacecraftLat,SpacecraftHgt,NadirHgt,NadirLine,NadirAreoidRad,NadirEllipsoidRad,FirstLon,FirstLat,FirstHgt,FirstLine
3636,9.128144,81.352969,317313.625,-1267,2373,3378613,3376658.424,9.162917,81.365276,-1258.133,2371
3637,9.112357,81.345627,317312.524,-1274,2374,3378613,3376659.196,9.199498,81.355387,-1263.506,2372
3638,9.096490,81.338235,317311.414,-1283,2376,3378614,3376659.975,9.198095,81.347295,-1268.024,2373
3639,9.080648,81.330843,317310.303,-1290,2377,3378615,3376660.754,9.193788,81.339345,-1274.361,2374
3640,9.064938,81.323500,317309.199,-1308,2380,3378615,3376661.529,9.270829,81.327455,-1278.726,2376
3641,9.049148,81.316106,317308.086,-1311,2381,3378616,3376662.309,9.271121,81.318201,-1284.647,2377
3642,9.033489,81.308762,317306.978,-1333,2385,3378617,3376663.085,9.270894,81.311178,-1289.500,2378
3643,9.017750,81.301367,317305.863,-1346,2387,3378617,3376663.867,9.260749,81.303514,-1296.088,2379
3644,9.002141,81.294021,317304.753,-1388,2394,3378618,3376664.645,9.305616,81.293185,-1301.293,2381
3645,8.986453,81.286625,317303.635,-1420,2400,3378619,3376665.428,9.283917,81.286094,-1309.266,2382
3646,8.970894,81.279278,317302.523,-1461,2407,3378619,3376666.207,9.282543,81.278051,-1314.674,2383
3647,8.955256,81.271881,317301.402,-1490,2412,3378620,3376666.992,9.278184,81.270101,-1322.740,2385
3648,8.939748,81.264533,317300.288,-1528,2419,3378620,3376667.772,9.360242,81.257905,-1322.147,2387
3649,8.924160,81.257135,317299.165,-1569,2426,3378622,3376668.559,9.352947,81.250099,-1329.755,2388
3650,8.908702,81.249785,317298.048,-1607,2433,3378622,3376669.340,9.354381,81.241913,-1337.293,2390
3651,8.893164,81.242386,317296.923,-1634,2438,3378623,3376670.128,9.332761,81.234825,-1348.047,2392
3652,8.877755,81.235035,317295.803,-1654,2442,3378624,3376670.911,9.385775,81.224054,-1348.863,2394
3653,8.862267,81.227635,317294.675,-1664,2443,3378624,3376671.700,9.389926,81.215673,-1356.980,2396
3654,8.846908,81.220283,317293.554,-1672,2445,3378625,3376672.484,9.494159,81.202295,-1356.743,2399
3655,8.831470,81.212881,317292.423,-1683,2447,3378625,3376673.275,9.469666,81.195359,-1380.374,2403
3656,8.816159,81.205528,317291.299,-1691,2448,3378625,3376674.061,9.764092,81.172178,-1332.970,2408
3657,8.800770,81.198125,317290.166,-1703,2450,3378627,3376674.853,9.810417,81.161589,-1341.829,2413
3658,8.785509,81.190771,317289.040,-1715,2452,3378627,3376675.640,9.876566,81.150012,-1340.907,2418
3659,8.770168,81.183367,317287.905,-1724,2454,3378627,3376676.433,9.877381,81.141773,-1353.794,2421
3660,8.754956,81.176012,317286.776,-1739,2456,3378629,3376677.222,8.004135,81.216148,-1458.707,2422
3661,8.739664,81.168607,317285.638,-1744,2457,3378630,3376678.017,8.040276,81.205297,-1468.978,2422
3662,8.724500,81.161250,317284.507,-1737,2456,3378631,3376678.807,8.094660,81.194711,-1482.110,2422
3663,8.709257,81.153844,317283.366,-1732,2455,3378631,3376679.603,8.100007,81.186350,-1481.895,2421
3664,8.694141,81.146486,317282.233,-1720,2453,3378632,3376680.394,8.093966,81.178576,-1479.728,2420
3665,8.678946,81.139079,317281.090,-1704,2450,3378633,3376681.192,8.097421,81.171372,-1481.057,2420
3666,8.663878,81.131720,317279.954,-1686,2447,3378633,3376681.985,8.133357,81.160561,-1490.218,2420
3667,8.648731,81.124311,317278.809,-1662,2443,3378634,3376682.784,8.128190,81.153759,-1490.282,2420
3668,8.633711,81.116952,317277.670,-1639,2439,3378635,3376683.578,8.149730,81.143618,-1495.151,2420
3669,8.618612,81.109542,317276.522,-1617,2435,3378635,3376684.378,8.100740,81.137809,-1486.999,2419
3670,8.603639,81.102181,317275.381,-1601,2432,3378636,3376685.174,7.946224,81.136981,-1455.310,2418
