satellite_position_km,nadir_apparent_depth_m,offnadir_apparent_depth_m,nadir_return_time_ms,offnadir_return_time_ms,nadir_return_time_us,offnadir_return_time_us,offnadir_extra_delay_us,offnadir_vhf_phase_deg
36.600,0.000000,1370.329633,2.678442298,2.694714800,2678.442298,2694.714800,16.272502,22.281221
36.800,0.000000,1380.482409,2.678551114,2.694944179,2678.551114,2694.944179,16.393065,22.279325
37.000,0.000000,1390.689230,2.678660523,2.695174793,2678.660523,2695.174793,16.514270,22.277419
37.200,0.000000,1400.950074,2.678770525,2.695406641,2678.770525,2695.406641,16.636117,22.275502
37.400,0.000000,1411.264921,2.678881120,2.695639724,2678.881120,2695.639724,16.758604,22.273576
37.600,0.000000,1421.633750,2.678992308,2.695874040,2678.992308,2695.874040,16.881733,22.271640
37.800,0.000000,1432.056540,2.679104089,2.696109591,2679.104089,2696.109591,17.005502,22.269695
38.000,0.000000,1442.533270,2.679216463,2.696346375,2679.216463,2696.346375,17.129912,22.267739
38.200,0.000000,1453.063918,2.679329430,2.696584392,2679.329430,2696.584392,17.254962,22.265773
38.400,0.000000,1463.648465,2.679442990,2.696823642,2679.442990,2696.823642,17.380652,22.263798
38.600,0.000000,1474.286887,2.679557143,2.697064125,2679.557143,2697.064125,17.506983,22.261813
38.800,0.000000,1484.979165,2.679671889,2.697305841,2679.671889,2697.305841,17.633952,22.259818
39.000,0.000000,1495.725276,2.679787228,2.697548789,2679.787228,2697.548789,17.761561,22.257813
39.200,0.000000,1506.525198,2.679903160,2.697792969,2679.903160,2697.792969,17.889809,22.255799
39.400,0.000000,1517.378911,2.680019685,2.698038380,2680.019685,2698.038380,18.018695,22.253774
39.600,0.000000,1528.286392,2.680136803,2.698285023,2680.136803,2698.285023,18.148220,22.251740
39.800,0.000000,1539.247619,2.680254514,2.698532898,2680.254514,2698.532898,18.278384,22.249696
40.000,0.000000,1550.262570,2.680372818,2.698782003,2680.372818,2698.782003,18.409185,22.247642
40.200,0.000000,1561.331224,2.680491715,2.699032339,2680.491715,2699.032339,18.540624,22.245579
40.400,0.000000,1572.453557,2.680611205,2.699283906,2680.611205,2699.283906,18.672700,22.243506
40.600,0.000000,1583.629548,2.680731289,2.699536702,2680.731289,2699.536702,18.805414,22.241423
40.800,0.000000,1594.859173,2.680851965,2.699790729,2680.851965,2699.790729,18.938764,22.239330
41.000,0.000000,1606.142412,2.680973234,2.700045985,2680.973234,2700.045985,19.072751,22.237228
41.200,0.000000,1617.479240,2.681095096,2.700302471,2681.095096,2700.302471,19.207375,22.235115
