x_km,scenario,frequency,frequency_mhz,frequency_role,surface_height_m,surface_slope_deg,upper_depth_m,lens_strength,lens_depth_m,ocean_depth_m,layer_count,ocean_echo_db,false_echo_db,false_depth_m,false_label,false_minus_ocean_db,ocean_margin_db,false_margin_db,inferred_depth_if_strongest_m,inferred_depth_error_m,classification
-60.0,clean_ice_control,HF_9MHz,9.0,deep sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,0,-29.485626555443126,-999.0,,none,-969.5143734445569,15.514373444556874,-954.0,14538.343476908214,0.0,clear ocean boundary
-60.0,clean_ice_control,VHF_60MHz,60.0,shallow/high-resolution sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,0,-54.7850743203505,-999.0,,none,-944.2149256796495,-9.785074320350503,-954.0,14538.343476908214,0.0,weak/no deep detection
-60.0,salt_reference,HF_9MHz,9.0,deep sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,2,-32.39653525082477,-41.88524354391341,7269.171738454107,base 1 m hydrated salt layer; top 1 m hydrated salt layer,-9.488708293088642,12.603464749175231,3.114756456086589,14538.343476908214,0.0,clear ocean boundary
-60.0,salt_reference,VHF_60MHz,60.0,shallow/high-resolution sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,2,-62.30100825337948,-49.225040564851746,7269.171738454107,base 1 m hydrated salt layer; top 1 m hydrated salt layer,13.075967688527733,-17.30100825337948,-4.225040564851746,7269.171738454107,-7269.171738454107,weak/no deep detection
-60.0,mixed_dirty_thin_layers,HF_9MHz,9.0,deep sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,0,-35.30096394620641,-999.0,,none,-963.6990360537936,9.699036053793591,-954.0,14538.343476908214,0.0,clear ocean boundary
-60.0,mixed_dirty_thin_layers,VHF_60MHz,60.0,shallow/high-resolution sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,0,-69.80021089835283,-999.0,,none,-929.1997891016472,-24.80021089835283,-954.0,14538.343476908214,0.0,weak/no deep detection
-60.0,briny_lens_masking,HF_9MHz,9.0,deep sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,0,-35.30096394620641,-999.0,,none,-963.6990360537936,9.699036053793591,-954.0,14538.343476908214,0.0,clear ocean boundary
-60.0,briny_lens_masking,VHF_60MHz,60.0,shallow/high-resolution sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,0,-69.80021089835283,-999.0,,none,-929.1997891016472,-24.80021089835283,-954.0,14538.343476908214,0.0,weak/no deep detection
-60.0,non_salt_impurity_mix,HF_9MHz,9.0,deep sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,3,-39.89985997472036,-33.212261122943346,6144.394766587458,base dust/organic mixed dirty layer; top dust/organic mixed dirty layer,6.687598851777011,5.100140025279643,11.787738877056654,6144.394766587458,-8393.948710320756,clear ocean boundary
-60.0,non_salt_impurity_mix,VHF_60MHz,60.0,shallow/high-resolution sounding,119.42638570504096,-1.000319418716319,946.6774955196128,0.0014571201453582399,5589.043116114486,14538.343476908214,3,-81.67450938460213,-47.023256291055915,3145.7861187765448,top radiolytic/acid-rich dirty layer,34.65125309354622,-36.67450938460213,-2.0232562910559153,3145.7861187765448,-11392.55735813167,weak/no deep detection
